# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
6.8           	2.0392750e-02	6.8379250e-03	9.9167050e-03	9.9166970e-03
6.9           	2.0285390e-02	6.7999900e-03	9.8720840e-03	9.8720950e-03
7             	2.0138190e-02	6.7652230e-03	9.8270290e-03	9.8270280e-03
7.1           	2.0146010e-02	6.7323380e-03	9.7863380e-03	9.7863260e-03
7.2           	2.0183880e-02	6.7008830e-03	9.7513510e-03	9.7513700e-03
7.3           	2.0168130e-02	6.6640450e-03	9.7141860e-03	9.7141490e-03
7.4           	1.9990260e-02	6.6289930e-03	9.6757450e-03	9.6757760e-03
7.5           	2.0059300e-02	6.5980350e-03	9.6400860e-03	9.6400570e-03
7.6           	2.0092690e-02	6.5647220e-03	9.6044170e-03	9.6044480e-03
7.7           	2.0163690e-02	6.5350120e-03	9.5663650e-03	9.5663580e-03
7.8           	1.9953540e-02	6.5050310e-03	9.5275660e-03	9.5275660e-03
7.9           	1.9912130e-02	6.4762630e-03	9.4899490e-03	9.4899990e-03
8             	1.9882120e-02	6.4471780e-03	9.4534390e-03	9.4533890e-03
8.1           	1.9895650e-02	6.4194330e-03	9.4169230e-03	9.4169730e-03
8.2           	1.9740710e-02	6.3946470e-03	9.3775430e-03	9.3774780e-03
8.3           	1.9824860e-02	6.3727640e-03	9.3410950e-03	9.3411690e-03
8.4           	1.9595740e-02	6.3507530e-03	9.3089240e-03	9.3088490e-03
8.5           	1.9858810e-02	6.3330790e-03	9.2779540e-03	9.2780500e-03
8.6           	1.9821860e-02	6.3127030e-03	9.2455570e-03	9.2454280e-03
8.7           	1.9839020e-02	6.2901930e-03	9.2123410e-03	9.2124830e-03
8.8           	1.9768360e-02	6.2687120e-03	9.1817390e-03	9.1815850e-03
8.9           	1.9747060e-02	6.2439480e-03	9.1487510e-03	9.1489290e-03
9             	1.9553660e-02	6.2194780e-03	9.1207490e-03	9.1206060e-03
9.1           	1.9733120e-02	6.1987990e-03	9.0920860e-03	9.0921810e-03
9.2           	1.9882160e-02	6.1795980e-03	9.0611720e-03	9.0611320e-03
9.3           	1.9758730e-02	6.1599160e-03	9.0288140e-03	9.0288000e-03
9.4           	1.9841800e-02	6.1406880e-03	8.9977560e-03	8.9978120e-03
9.5           	1.9545740e-02	6.1233930e-03	8.9671880e-03	8.9670960e-03
9.6           	1.9755770e-02	6.1095650e-03	8.9407950e-03	8.9409120e-03
9.7           	1.9930100e-02	6.0942030e-03	8.9188720e-03	8.9187580e-03
9.8           	1.9912160e-02	6.0766070e-03	8.8981510e-03	8.8982470e-03
9.9           	1.9860970e-02	6.0611890e-03	8.8821370e-03	8.8820420e-03
10            	2.0019600e-02	6.0454260e-03	8.8626320e-03	8.8627090e-03
10.1          	2.0246560e-02	6.0308480e-03	8.8431410e-03	8.8430720e-03
10.2          	2.0219770e-02	6.0151800e-03	8.8283770e-03	8.8284390e-03
10.3          	2.0512740e-02	5.9999950e-03	8.8120600e-03	8.8119930e-03
10.4          	2.0501720e-02	5.9852210e-03	8.7953650e-03	8.7954280e-03
10.5          	2.0503710e-02	5.9729260e-03	8.7819750e-03	8.7819110e-03
10.6          	2.0579620e-02	5.9587060e-03	8.7653170e-03	8.7653970e-03
10.7          	2.0599300e-02	5.9475050e-03	8.7515810e-03	8.7514990e-03
10.8          	2.0733730e-02	5.9360680e-03	8.7367170e-03	8.7367990e-03
10.9          	2.0960740e-02	5.9238200e-03	8.7251050e-03	8.7250360e-03
11            	2.0963070e-02	5.9107250e-03	8.7202350e-03	8.7202810e-03
11.1          	2.1030870e-02	5.9015190e-03	8.7156820e-03	8.7156440e-03
11.2          	2.1160900e-02	5.8963290e-03	8.7126480e-03	8.7126770e-03
11.3          	2.1258480e-02	5.8901070e-03	8.7078770e-03	8.7078630e-03
11.4          	2.1256710e-02	5.8866180e-03	8.7027460e-03	8.7027570e-03
11.5          	2.1384100e-02	5.8801600e-03	8.6979280e-03	8.6979170e-03
11.6          	2.1521600e-02	5.8746500e-03	8.6925770e-03	8.6925840e-03
11.7          	2.1538120e-02	5.8709200e-03	8.6917070e-03	8.6917020e-03
11.8          	2.1950780e-02	5.8677280e-03	8.6930820e-03	8.6930900e-03
11.9          	2.1933920e-02	5.8582920e-03	8.6962700e-03	8.6962630e-03
12            	2.2044690e-02	5.8533100e-03	8.6958490e-03	8.6958510e-03
12.1          	2.1947780e-02	5.8499410e-03	8.6952140e-03	8.6952160e-03
12.2          	2.2148760e-02	5.8484350e-03	8.6995590e-03	8.6995560e-03
12.3          	2.1971250e-02	5.8425330e-03	8.7001670e-03	8.7001540e-03
12.4          	2.2318700e-02	5.8350540e-03	8.7011300e-03	8.7011460e-03
12.5          	2.2481050e-02	5.8288650e-03	8.7055080e-03	8.7054990e-03
12.6          	2.2421940e-02	5.8234370e-03	8.7104210e-03	8.7104390e-03
12.7          	2.2606740e-02	5.8196790e-03	8.7142640e-03	8.7142420e-03
12.8          	2.2400460e-02	5.8201650e-03	8.7137400e-03	8.7137650e-03
12.9          	2.2574370e-02	5.8184560e-03	8.7173440e-03	8.7173220e-03
13            	2.2670810e-02	5.8146920e-03	8.7218940e-03	8.7219230e-03
13.1          	2.2634120e-02	5.8116570e-03	8.7289800e-03	8.7289570e-03
13.2          	2.2847090e-02	5.8100510e-03	8.7354800e-03	8.7355050e-03
13.3          	2.2937070e-02	5.8131380e-03	8.7374840e-03	8.7374760e-03
13.4          	2.3099840e-02	5.8125650e-03	8.7382990e-03	8.7382970e-03
13.5          	2.3065900e-02	5.8090860e-03	8.7374460e-03	8.7374520e-03
13.6          	2.3314370e-02	5.8058590e-03	8.7378430e-03	8.7378200e-03
13.7          	2.3328680e-02	5.8013060e-03	8.7435220e-03	8.7435680e-03
13.8          	2.3514990e-02	5.7991410e-03	8.7517580e-03	8.7517240e-03
13.9          	2.3614620e-02	5.7968710e-03	8.7607720e-03	8.7608160e-03
14            	2.3578270e-02	5.7969630e-03	8.7675520e-03	8.7675020e-03
14.1          	2.3530610e-02	5.7996320e-03	8.7729570e-03	8.7730100e-03
14.2          	2.3589030e-02	5.8015720e-03	8.7791860e-03	8.7791320e-03
14.3          	2.3787730e-02	5.8038460e-03	8.7822100e-03	8.7822430e-03
14.4          	2.3701290e-02	5.8046490e-03	8.7859060e-03	8.7858590e-03
14.5          	2.4167540e-02	5.8049810e-03	8.7962210e-03	8.7962710e-03
14.6          	2.4140900e-02	5.8026320e-03	8.8074390e-03	8.8073710e-03
14.7          	2.4194320e-02	5.8011450e-03	8.8189530e-03	8.8190100e-03
14.8          	2.4079130e-02	5.8014530e-03	8.8282430e-03	8.8281770e-03
14.9          	2.4019870e-02	5.8019120e-03	8.8334750e-03	8.8335260e-03
15            	2.4322820e-02	5.8088320e-03	8.8414310e-03	8.8414120e-03
15.1          	2.4746320e-02	5.8128080e-03	8.8523520e-03	8.8523730e-03
15.2          	2.4503610e-02	5.8165850e-03	8.8649960e-03	8.8649900e-03
15.3          	2.4557730e-02	5.8178150e-03	8.8758010e-03	8.8757950e-03
15.4          	2.4888990e-02	5.8157630e-03	8.8850190e-03	8.8850370e-03
15.5          	2.5072360e-02	5.8184230e-03	8.8927530e-03	8.8927350e-03
15.6          	2.5397850e-02	5.8243420e-03	8.8997860e-03	8.8998180e-03
15.7          	2.5522060e-02	5.8315170e-03	8.9113160e-03	8.9112950e-03
15.8          	2.5597370e-02	5.8384440e-03	8.9223710e-03	8.9224050e-03
15.9          	2.5676490e-02	5.8489950e-03	8.9360900e-03	8.9360680e-03
16            	2.5461170e-02	5.8601270e-03	8.9501640e-03	8.9501840e-03
16.1          	2.5800430e-02	5.8688620e-03	8.9638590e-03	8.9638700e-03
16.2          	2.5812500e-02	5.8689010e-03	8.9768140e-03	8.9767910e-03
16.3          	2.6002350e-02	5.8713200e-03	8.9887990e-03	8.9888170e-03
16.4          	2.6376390e-02	5.8770090e-03	8.9998140e-03	8.9997830e-03
16.5          	2.6285660e-02	5.8847570e-03	9.0119260e-03	9.0119640e-03
16.6          	2.6671830e-02	5.8945610e-03	9.0296040e-03	9.0295610e-03
16.7          	2.6414400e-02	5.9059600e-03	9.0468180e-03	9.0468750e-03
16.8          	2.6688030e-02	5.9190020e-03	9.0607730e-03	9.0607170e-03
16.9          	2.6653270e-02	5.9310520e-03	9.0700580e-03	9.0701050e-03
17            	2.6733730e-02	5.9414400e-03	9.0810090e-03	9.0809650e-03
17.1          	2.7160460e-02	5.9461730e-03	9.0911710e-03	9.0912130e-03
17.2          	2.7198860e-02	5.9481760e-03	9.1041610e-03	9.1041280e-03
17.3          	2.7143090e-02	5.9538860e-03	9.1177320e-03	9.1177700e-03
17.4          	2.7028600e-02	5.9574600e-03	9.1290900e-03	9.1290870e-03
17.5          	2.6971550e-02	5.9593720e-03	9.1462240e-03	9.1462300e-03
17.6          	2.6999370e-02	5.9616580e-03	9.1613670e-03	9.1613640e-03
17.7          	2.7183410e-02	5.9653400e-03	9.1736020e-03	9.1736090e-03
17.8          	2.7305940e-02	5.9675460e-03	9.1821460e-03	9.1821490e-03
17.9          	2.7285880e-02	5.9694620e-03	9.1899850e-03	9.1899710e-03
18            	2.7097360e-02	5.9742340e-03	9.2006850e-03	9.2007120e-03
18.1          	2.7330570e-02	5.9775790e-03	9.2118280e-03	9.2117910e-03
