# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
142.9         	4.3276000e-02	7.2264850e-03	1.2586720e-02	1.2561270e-02
143           	4.3295910e-02	7.2265560e-03	1.2589050e-02	1.2562090e-02
143.1         	4.3282500e-02	7.2262850e-03	1.2591040e-02	1.2562450e-02
143.2         	4.3334350e-02	7.2257360e-03	1.2592830e-02	1.2562240e-02
143.3         	4.3334960e-02	7.2247470e-03	1.2594830e-02	1.2562040e-02
143.4         	4.3252550e-02	7.2248080e-03	1.2596610e-02	1.2561560e-02
143.5         	4.3320520e-02	7.2255520e-03	1.2599250e-02	1.2560580e-02
143.6         	4.3279320e-02	7.2258740e-03	1.2601080e-02	1.2560310e-02
143.7         	4.3298160e-02	7.2266690e-03	1.2602340e-02	1.2560370e-02
143.8         	4.3340840e-02	7.2265140e-03	1.2604340e-02	1.2560940e-02
143.9         	4.3314930e-02	7.2259080e-03	1.2606170e-02	1.2560510e-02
144           	4.3319110e-02	7.2253590e-03	1.2607770e-02	1.2560450e-02
144.1         	4.3305120e-02	7.2249080e-03	1.2609230e-02	1.2559540e-02
144.2         	4.3392380e-02	7.2249100e-03	1.2610600e-02	1.2559290e-02
144.3         	4.3309960e-02	7.2249700e-03	1.2612370e-02	1.2559310e-02
144.4         	4.3297870e-02	7.2259940e-03	1.2613350e-02	1.2558680e-02
144.5         	4.3307000e-02	7.2265660e-03	1.2614270e-02	1.2559030e-02
144.6         	4.3340230e-02	7.2272080e-03	1.2615660e-02	1.2559400e-02
144.7         	4.3321900e-02	7.2263910e-03	1.2617250e-02	1.2559230e-02
144.8         	4.3309620e-02	7.2259880e-03	1.2618780e-02	1.2558760e-02
144.9         	4.3389540e-02	7.2255070e-03	1.2619830e-02	1.2557920e-02
145           	4.3369450e-02	7.2254870e-03	1.2620610e-02	1.2557060e-02
145.1         	4.3360910e-02	7.2255370e-03	1.2622440e-02	1.2556110e-02
145.2         	4.3396350e-02	7.2256920e-03	1.2623660e-02	1.2555720e-02
145.3         	4.3372270e-02	7.2258000e-03	1.2624290e-02	1.2555490e-02
145.4         	4.3442370e-02	7.2258120e-03	1.2624110e-02	1.2555820e-02
145.5         	4.3386420e-02	7.2260490e-03	1.2623400e-02	1.2555660e-02
145.6         	4.3389830e-02	7.2262750e-03	1.2623100e-02	1.2554960e-02
145.7         	4.3369240e-02	7.2261800e-03	1.2623530e-02	1.2554060e-02
145.8         	4.3382700e-02	7.2263070e-03	1.2624030e-02	1.2552910e-02
145.9         	4.3420600e-02	7.2263170e-03	1.2624310e-02	1.2553030e-02
146           	4.3345150e-02	7.2254760e-03	1.2624040e-02	1.2553260e-02
146.1         	4.3413850e-02	7.2251410e-03	1.2623140e-02	1.2552950e-02
146.2         	4.3444190e-02	7.2248910e-03	1.2622710e-02	1.2552160e-02
146.3         	4.3374520e-02	7.2253090e-03	1.2622640e-02	1.2550740e-02
146.4         	4.3398210e-02	7.2256660e-03	1.2622770e-02	1.2549880e-02
146.5         	4.3439300e-02	7.2255360e-03	1.2622900e-02	1.2547980e-02
146.6         	4.3376510e-02	7.2259880e-03	1.2623330e-02	1.2547140e-02
146.7         	4.3411590e-02	7.2256730e-03	1.2624050e-02	1.2547160e-02
146.8         	4.3467920e-02	7.2255670e-03	1.2624250e-02	1.2547290e-02
146.9         	4.3500250e-02	7.2259630e-03	1.2624110e-02	1.2546600e-02
147           	4.3488980e-02	7.2256250e-03	1.2624220e-02	1.2545980e-02
147.1         	4.3485260e-02	7.2255730e-03	1.2623970e-02	1.2544380e-02
147.2         	4.3493560e-02	7.2251870e-03	1.2623360e-02	1.2542930e-02
147.3         	4.3498940e-02	7.2246080e-03	1.2622570e-02	1.2541770e-02
147.4         	4.3541520e-02	7.2244470e-03	1.2622360e-02	1.2540920e-02
147.5         	4.3551450e-02	7.2245380e-03	1.2622310e-02	1.2539480e-02
147.6         	4.3522030e-02	7.2241380e-03	1.2621420e-02	1.2538690e-02
147.7         	4.3571790e-02	7.2239150e-03	1.2620380e-02	1.2539150e-02
147.8         	4.3530690e-02	7.2239570e-03	1.2619830e-02	1.2539180e-02
147.9         	4.3554990e-02	7.2243450e-03	1.2618610e-02	1.2538140e-02
148           	4.3535730e-02	7.2229960e-03	1.2617740e-02	1.2536520e-02
148.1         	4.3504840e-02	7.2227370e-03	1.2617410e-02	1.2535450e-02
148.2         	4.3513340e-02	7.2220090e-03	1.2618240e-02	1.2533860e-02
148.3         	4.3477200e-02	7.2214970e-03	1.2618050e-02	1.2532090e-02
148.4         	4.3473660e-02	7.2215600e-03	1.2616700e-02	1.2530620e-02
148.5         	4.3546850e-02	7.2211470e-03	1.2614810e-02	1.2529230e-02
148.6         	4.3533430e-02	7.2212000e-03	1.2613530e-02	1.2527820e-02
148.7         	4.3586430e-02	7.2216590e-03	1.2612890e-02	1.2527360e-02
148.8         	4.3519750e-02	7.2215340e-03	1.2612620e-02	1.2526450e-02
148.9         	4.3568270e-02	7.2214230e-03	1.2612450e-02	1.2525470e-02
149           	4.3596080e-02	7.2216350e-03	1.2611590e-02	1.2523830e-02
149.1         	4.3571090e-02	7.2215510e-03	1.2610450e-02	1.2523020e-02
149.2         	4.3582820e-02	7.2218770e-03	1.2609520e-02	1.2522800e-02
149.3         	4.3580720e-02	7.2216190e-03	1.2609140e-02	1.2522260e-02
149.4         	4.3586720e-02	7.2211040e-03	1.2608990e-02	1.2520920e-02
149.5         	4.3610440e-02	7.2209650e-03	1.2608580e-02	1.2519490e-02
149.6         	4.3563460e-02	7.2215110e-03	1.2607760e-02	1.2518290e-02
149.7         	4.3586450e-02	7.2215940e-03	1.2607110e-02	1.2517710e-02
149.8         	4.3610340e-02	7.2215710e-03	1.2606370e-02	1.2516850e-02
149.9         	4.3618430e-02	7.2209310e-03	1.2605230e-02	1.2515710e-02
150           	4.3618260e-02	7.2207020e-03	1.2604850e-02	1.2514200e-02
150.1         	4.3658410e-02	7.2209590e-03	1.2604950e-02	1.2512780e-02
150.2         	4.3669460e-02	7.2216030e-03	1.2604980e-02	1.2512260e-02
150.3         	4.3649710e-02	7.2223530e-03	1.2604680e-02	1.2511630e-02
150.4         	4.3627140e-02	7.2226070e-03	1.2604420e-02	1.2510390e-02
150.5         	4.3628020e-02	7.2220600e-03	1.2604470e-02	1.2509740e-02
150.6         	4.3604260e-02	7.2212380e-03	1.2603910e-02	1.2508660e-02
150.7         	4.3573190e-02	7.2213280e-03	1.2603270e-02	1.2507070e-02
150.8         	4.3654470e-02	7.2215570e-03	1.2603240e-02	1.2506770e-02
150.9         	4.3614970e-02	7.2218180e-03	1.2603550e-02	1.2506730e-02
151           	4.3556110e-02	7.2220620e-03	1.2603180e-02	1.2506730e-02
151.1         	4.3574460e-02	7.2223490e-03	1.2602680e-02	1.2506080e-02
151.2         	4.3614940e-02	7.2211470e-03	1.2601450e-02	1.2505180e-02
151.3         	4.3572320e-02	7.2214920e-03	1.2599660e-02	1.2503980e-02
151.4         	4.3593980e-02	7.2222320e-03	1.2599050e-02	1.2503560e-02
151.5         	4.3585160e-02	7.2225640e-03	1.2598570e-02	1.2503750e-02
151.6         	4.3596030e-02	7.2222580e-03	1.2599460e-02	1.2504710e-02
151.7         	4.3584210e-02	7.2218420e-03	1.2599200e-02	1.2505140e-02
151.8         	4.3599430e-02	7.2218670e-03	1.2598690e-02	1.2505290e-02
151.9         	4.3588010e-02	7.2225580e-03	1.2596750e-02	1.2505450e-02
152           	4.3574920e-02	7.2236460e-03	1.2596080e-02	1.2505550e-02
152.1         	4.3559260e-02	7.2232410e-03	1.2595850e-02	1.2504160e-02
152.2         	4.3598720e-02	7.2233080e-03	1.2596140e-02	1.2502980e-02
152.3         	4.3607830e-02	7.2232820e-03	1.2596480e-02	1.2502630e-02
152.4         	4.3657190e-02	7.2231240e-03	1.2596640e-02	1.2502050e-02
152.5         	4.3642940e-02	7.2235480e-03	1.2596750e-02	1.2501490e-02
152.6         	4.3654520e-02	7.2242260e-03	1.2596410e-02	1.2500780e-02
152.7         	4.3678130e-02	7.2246260e-03	1.2595360e-02	1.2500750e-02
152.8         	4.3691180e-02	7.2252100e-03	1.2595180e-02	1.2500420e-02
152.9         	4.3688470e-02	7.2247880e-03	1.2594800e-02	1.2499990e-02
153           	4.3725490e-02	7.2241220e-03	1.2594010e-02	1.2499200e-02
153.1         	4.3709480e-02	7.2244440e-03	1.2593070e-02	1.2497930e-02
153.2         	4.3698460e-02	7.2248160e-03	1.2593200e-02	1.2497020e-02
153.3         	4.3614790e-02	7.2249980e-03	1.2593500e-02	1.2496250e-02
153.4         	4.3601260e-02	7.2250100e-03	1.2593910e-02	1.2495680e-02
153.5         	4.3630160e-02	7.2250080e-03	1.2594050e-02	1.2494220e-02
153.6         	4.3662650e-02	7.2249530e-03	1.2593110e-02	1.2493240e-02
153.7         	4.3687800e-02	7.2249440e-03	1.2591940e-02	1.2493100e-02
153.8         	4.3683150e-02	7.2246120e-03	1.2591440e-02	1.2493120e-02
153.9         	4.3681440e-02	7.2242090e-03	1.2590470e-02	1.2492820e-02
154           	4.3719060e-02	7.2235700e-03	1.2589660e-02	1.2492140e-02
154.1         	4.3712680e-02	7.2233880e-03	1.2589390e-02	1.2491060e-02
154.2         	4.3683220e-02	7.2231690e-03	1.2589050e-02	1.2490630e-02
154.3         	4.3699760e-02	7.2228310e-03	1.2588670e-02	1.2490510e-02
154.4         	4.3656510e-02	7.2232030e-03	1.2587590e-02	1.2490690e-02
154.5         	4.3725620e-02	7.2226640e-03	1.2586730e-02	1.2490460e-02
154.6         	4.3755680e-02	7.2224860e-03	1.2585430e-02	1.2490220e-02
154.7         	4.3728610e-02	7.2216890e-03	1.2584820e-02	1.2489610e-02
154.8         	4.3782980e-02	7.2220050e-03	1.2585570e-02	1.2488770e-02
154.9         	4.3726420e-02	7.2221190e-03	1.2585280e-02	1.2487960e-02
155           	4.3673950e-02	7.2224590e-03	1.2585070e-02	1.2487420e-02
155.1         	4.3732280e-02	7.2229350e-03	1.2584840e-02	1.2487240e-02
155.2         	4.3717560e-02	7.2229170e-03	1.2585330e-02	1.2487030e-02
155.3         	4.3673000e-02	7.2222930e-03	1.2585440e-02	1.2487050e-02
155.4         	4.3701200e-02	7.2213730e-03	1.2585130e-02	1.2487320e-02
155.5         	4.3713150e-02	7.2212730e-03	1.2584900e-02	1.2486750e-02
155.6         	4.3676650e-02	7.2212150e-03	1.2585120e-02	1.2486010e-02
155.7         	4.3770120e-02	7.2216400e-03	1.2585580e-02	1.2485520e-02
155.8         	4.3738880e-02	7.2221120e-03	1.2585280e-02	1.2485160e-02
155.9         	4.3763560e-02	7.2227270e-03	1.2586110e-02	1.2484460e-02
156           	4.3747910e-02	7.2240310e-03	1.2586800e-02	1.2483490e-02
156.1         	4.3757410e-02	7.2247000e-03	1.2587200e-02	1.2482380e-02
156.2         	4.3830750e-02	7.2253090e-03	1.2588260e-02	1.2481890e-02
156.3         	4.3796980e-02	7.2253410e-03	1.2588490e-02	1.2481710e-02
156.4         	4.3794280e-02	7.2255910e-03	1.2588840e-02	1.2481760e-02
156.5         	4.3784600e-02	7.2260270e-03	1.2588900e-02	1.2481070e-02
156.6         	4.3817310e-02	7.2262780e-03	1.2588270e-02	1.2480980e-02
156.7         	4.3800940e-02	7.2270490e-03	1.2588520e-02	1.2480020e-02
156.8         	4.3804660e-02	7.2280380e-03	1.2588790e-02	1.2479450e-02
156.9         	4.3810490e-02	7.2288470e-03	1.2589140e-02	1.2478740e-02
157           	4.3861700e-02	7.2292070e-03	1.2589330e-02	1.2477910e-02
157.1         	4.3862660e-02	7.2303480e-03	1.2590260e-02	1.2477410e-02
157.2         	4.3786120e-02	7.2316080e-03	1.2590830e-02	1.2477530e-02
157.3         	4.3814040e-02	7.2323450e-03	1.2591070e-02	1.2477880e-02
157.4         	4.3826880e-02	7.2328450e-03	1.2590650e-02	1.2478060e-02
157.5         	4.3919190e-02	7.2343910e-03	1.2590650e-02	1.2477110e-02
157.6         	4.3894070e-02	7.2359430e-03	1.2590730e-02	1.2475920e-02
157.7         	4.3892240e-02	7.2370460e-03	1.2591290e-02	1.2474270e-02
157.8         	4.3887280e-02	7.2376750e-03	1.2591240e-02	1.2473900e-02
157.9         	4.3874750e-02	7.2382760e-03	1.2591860e-02	1.2472900e-02
158           	4.3895110e-02	7.2386680e-03	1.2592070e-02	1.2472710e-02
158.1         	4.3879640e-02	7.2395980e-03	1.2591570e-02	1.2472520e-02
158.2         	4.3901320e-02	7.2408020e-03	1.2590900e-02	1.2471870e-02
158.3         	4.3965260e-02	7.2418610e-03	1.2590000e-02	1.2471110e-02
158.4         	4.3887070e-02	7.2423600e-03	1.2589830e-02	1.2470090e-02
158.5         	4.3904440e-02	7.2430650e-03	1.2590280e-02	1.2468250e-02
158.6         	4.3908700e-02	7.2438090e-03	1.2590520e-02	1.2466690e-02
158.7         	4.3898020e-02	7.2449270e-03	1.2590250e-02	1.2465760e-02
158.8         	4.3910510e-02	7.2461690e-03	1.2589670e-02	1.2465370e-02
158.9         	4.3938370e-02	7.2475660e-03	1.2588820e-02	1.2465190e-02
159           	4.3909510e-02	7.2482040e-03	1.2588160e-02	1.2464870e-02
159.1         	4.3875850e-02	7.2482070e-03	1.2587560e-02	1.2464940e-02
159.2         	4.3968930e-02	7.2489880e-03	1.2587390e-02	1.2464040e-02
159.3         	4.3952000e-02	7.2493140e-03	1.2586940e-02	1.2462630e-02
159.4         	4.3942870e-02	7.2499100e-03	1.2586510e-02	1.2460970e-02
159.5         	4.3955000e-02	7.2502270e-03	1.2586620e-02	1.2459280e-02
159.6         	4.3964090e-02	7.2505990e-03	1.2586600e-02	1.2458190e-02
159.7         	4.3982330e-02	7.2507970e-03	1.2586820e-02	1.2457270e-02
159.8         	4.3881110e-02	7.2509950e-03	1.2586380e-02	1.2457560e-02
159.9         	4.3888900e-02	7.2511930e-03	1.2585250e-02	1.2458100e-02
160           	4.3978610e-02	7.2516920e-03	1.2585080e-02	1.2457530e-02
160.1         	4.3954670e-02	7.2518380e-03	1.2584650e-02	1.2456470e-02
160.2         	4.3994620e-02	7.2521270e-03	1.2583760e-02	1.2454420e-02
160.3         	4.3988090e-02	7.2525730e-03	1.2583000e-02	1.2453200e-02
160.4         	4.3947690e-02	7.2532660e-03	1.2582190e-02	1.2451900e-02
160.5         	4.3962800e-02	7.2540580e-03	1.2580790e-02	1.2450060e-02
160.6         	4.4050990e-02	7.2541180e-03	1.2578940e-02	1.2448870e-02
160.7         	4.3995810e-02	7.2544030e-03	1.2577610e-02	1.2447830e-02
160.8         	4.4024710e-02	7.2550780e-03	1.2575990e-02	1.2447730e-02
160.9         	4.4035470e-02	7.2553500e-03	1.2575190e-02	1.2447360e-02
161           	4.3988140e-02	7.2557290e-03	1.2574700e-02	1.2446340e-02
161.1         	4.3862580e-02	7.2558500e-03	1.2573840e-02	1.2445440e-02
161.2         	4.3931020e-02	7.2560410e-03	1.2573160e-02	1.2444210e-02
161.3         	4.3940620e-02	7.2558570e-03	1.2572260e-02	1.2442500e-02
161.4         	4.3930840e-02	7.2556280e-03	1.2570780e-02	1.2440500e-02
161.5         	4.3928310e-02	7.2551220e-03	1.2570220e-02	1.2439050e-02
161.6         	4.3921850e-02	7.2547600e-03	1.2568740e-02	1.2437640e-02
161.7         	4.3939600e-02	7.2544890e-03	1.2566550e-02	1.2435840e-02
161.8         	4.3879340e-02	7.2543680e-03	1.2564620e-02	1.2433710e-02
161.9         	4.3915440e-02	7.2540070e-03	1.2563420e-02	1.2431790e-02
162           	4.3915100e-02	7.2532600e-03	1.2561950e-02	1.2429420e-02
162.1         	4.3931910e-02	7.2531800e-03	1.2560240e-02	1.2427630e-02
162.2         	4.3920990e-02	7.2537220e-03	1.2559300e-02	1.2425980e-02
162.3         	4.3926360e-02	7.2540550e-03	1.2557820e-02	1.2425070e-02
162.4         	4.3899350e-02	7.2543700e-03	1.2556560e-02	1.2423680e-02
162.5         	4.3918290e-02	7.2547270e-03	1.2554660e-02	1.2423040e-02
162.6         	4.3963160e-02	7.2551020e-03	1.2552670e-02	1.2422620e-02
162.7         	4.3917000e-02	7.2554490e-03	1.2551070e-02	1.2422130e-02
162.8         	4.3951510e-02	7.2556250e-03	1.2549270e-02	1.2420780e-02
162.9         	4.3897520e-02	7.2551810e-03	1.2547530e-02	1.2418920e-02
163           	4.3842650e-02	7.2550830e-03	1.2546290e-02	1.2417320e-02
163.1         	4.3909170e-02	7.2549380e-03	1.2545000e-02	1.2416300e-02
163.2         	4.3854820e-02	7.2551920e-03	1.2543420e-02	1.2415540e-02
163.3         	4.3876590e-02	7.2555090e-03	1.2542540e-02	1.2414930e-02
163.4         	4.3893340e-02	7.2551370e-03	1.2541930e-02	1.2414360e-02
163.5         	4.3823650e-02	7.2548180e-03	1.2541610e-02	1.2413730e-02
163.6         	4.3837240e-02	7.2542010e-03	1.2539950e-02	1.2413080e-02
163.7         	4.3881760e-02	7.2541070e-03	1.2538690e-02	1.2411950e-02
163.8         	4.3855780e-02	7.2540970e-03	1.2537220e-02	1.2410800e-02
163.9         	4.3802430e-02	7.2539390e-03	1.2535370e-02	1.2410340e-02
164           	4.3892980e-02	7.2537770e-03	1.2534090e-02	1.2409990e-02
164.1         	4.3819500e-02	7.2531620e-03	1.2534430e-02	1.2410480e-02
164.2         	4.3862880e-02	7.2526700e-03	1.2534520e-02	1.2409760e-02
164.3         	4.3814110e-02	7.2525570e-03	1.2534080e-02	1.2408040e-02
164.4         	4.3912960e-02	7.2524950e-03	1.2531860e-02	1.2406710e-02
164.5         	4.3917230e-02	7.2521740e-03	1.2530430e-02	1.2405960e-02
164.6         	4.3933460e-02	7.2508950e-03	1.2529740e-02	1.2405200e-02
164.7         	4.3933750e-02	7.2499540e-03	1.2529160e-02	1.2405330e-02
164.8         	4.3904710e-02	7.2492510e-03	1.2527880e-02	1.2405410e-02
164.9         	4.3864850e-02	7.2491240e-03	1.2526330e-02	1.2404710e-02
165           	4.3894710e-02	7.2488040e-03	1.2524490e-02	1.2403010e-02
165.1         	4.3897890e-02	7.2482820e-03	1.2522920e-02	1.2400660e-02
165.2         	4.3930320e-02	7.2483410e-03	1.2521430e-02	1.2398660e-02
165.3         	4.3820240e-02	7.2481030e-03	1.2520600e-02	1.2397900e-02
165.4         	4.3844800e-02	7.2475500e-03	1.2519900e-02	1.2397730e-02
165.5         	4.3874250e-02	7.2467880e-03	1.2519070e-02	1.2397940e-02
165.6         	4.3885320e-02	7.2457610e-03	1.2518070e-02	1.2398020e-02
165.7         	4.3905490e-02	7.2453750e-03	1.2516770e-02	1.2397480e-02
165.8         	4.3881480e-02	7.2447550e-03	1.2516240e-02	1.2396500e-02
165.9         	4.3869390e-02	7.2437470e-03	1.2515540e-02	1.2395680e-02
166           	4.3868200e-02	7.2430550e-03	1.2515010e-02	1.2395350e-02
166.1         	4.3793140e-02	7.2429380e-03	1.2513460e-02	1.2395170e-02
166.2         	4.3872480e-02	7.2427510e-03	1.2511800e-02	1.2394750e-02
166.3         	4.3902690e-02	7.2430920e-03	1.2511270e-02	1.2394010e-02
166.4         	4.3883620e-02	7.2429860e-03	1.2510490e-02	1.2394190e-02
166.5         	4.3854860e-02	7.2428040e-03	1.2509640e-02	1.2394290e-02
166.6         	4.3885640e-02	7.2426370e-03	1.2509140e-02	1.2394580e-02
166.7         	4.3845820e-02	7.2424060e-03	1.2507860e-02	1.2395350e-02
166.8         	4.3910700e-02	7.2417910e-03	1.2507340e-02	1.2396070e-02
166.9         	4.3925350e-02	7.2409160e-03	1.2506080e-02	1.2397160e-02
167           	4.3871060e-02	7.2397710e-03	1.2505090e-02	1.2397580e-02
167.1         	4.3892720e-02	7.2392310e-03	1.2504220e-02	1.2396790e-02
167.2         	4.3916840e-02	7.2389520e-03	1.2503090e-02	1.2395280e-02
167.3         	4.3949090e-02	7.2390110e-03	1.2501530e-02	1.2394210e-02
167.4         	4.3986660e-02	7.2388880e-03	1.2500690e-02	1.2393180e-02
167.5         	4.4004610e-02	7.2385900e-03	1.2499850e-02	1.2393400e-02
167.6         	4.3987580e-02	7.2383710e-03	1.2498610e-02	1.2394240e-02
167.7         	4.3931300e-02	7.2378560e-03	1.2497140e-02	1.2395740e-02
167.8         	4.3963310e-02	7.2378110e-03	1.2495330e-02	1.2396000e-02
167.9         	4.3994070e-02	7.2373150e-03	1.2494200e-02	1.2395500e-02
168           	4.4045130e-02	7.2368410e-03	1.2493350e-02	1.2394330e-02
168.1         	4.3980670e-02	7.2358740e-03	1.2492410e-02	1.2393610e-02
168.2         	4.4000740e-02	7.2353050e-03	1.2491890e-02	1.2393440e-02
168.3         	4.3953710e-02	7.2358390e-03	1.2491650e-02	1.2393320e-02
168.4         	4.3949710e-02	7.2355130e-03	1.2490830e-02	1.2394320e-02
168.5         	4.3962900e-02	7.2349030e-03	1.2489300e-02	1.2395170e-02
168.6         	4.3967860e-02	7.2338370e-03	1.2487680e-02	1.2395620e-02
168.7         	4.3966840e-02	7.2330260e-03	1.2486390e-02	1.2394590e-02
168.8         	4.3887770e-02	7.2321110e-03	1.2485240e-02	1.2393350e-02
168.9         	4.3900170e-02	7.2313760e-03	1.2483400e-02	1.2392060e-02
169           	4.3882360e-02	7.2309220e-03	1.2481950e-02	1.2391680e-02
169.1         	4.3853260e-02	7.2303020e-03	1.2480940e-02	1.2391320e-02
169.2         	4.3871520e-02	7.2305290e-03	1.2480210e-02	1.2390240e-02
169.3         	4.3906450e-02	7.2303660e-03	1.2479370e-02	1.2389180e-02
169.4         	4.3840920e-02	7.2299600e-03	1.2478480e-02	1.2388170e-02
169.5         	4.3926490e-02	7.2295700e-03	1.2477090e-02	1.2387650e-02
169.6         	4.3896360e-02	7.2284420e-03	1.2474780e-02	1.2387870e-02
169.7         	4.3935910e-02	7.2273400e-03	1.2472100e-02	1.2387620e-02
169.8         	4.3855280e-02	7.2269410e-03	1.2470130e-02	1.2388050e-02
169.9         	4.3836690e-02	7.2265020e-03	1.2469230e-02	1.2387730e-02
170           	4.3837370e-02	7.2260600e-03	1.2468230e-02	1.2387330e-02
170.1         	4.3865320e-02	7.2256880e-03	1.2467550e-02	1.2386890e-02
170.2         	4.3886320e-02	7.2252970e-03	1.2466230e-02	1.2386230e-02
170.3         	4.3945730e-02	7.2247970e-03	1.2465640e-02	1.2385000e-02
170.4         	4.3873590e-02	7.2243290e-03	1.2464470e-02	1.2383980e-02
170.5         	4.3866190e-02	7.2236310e-03	1.2462830e-02	1.2382340e-02
170.6         	4.3803120e-02	7.2229650e-03	1.2461420e-02	1.2380860e-02
170.7         	4.3797270e-02	7.2226260e-03	1.2460510e-02	1.2379170e-02
170.8         	4.3853380e-02	7.2218760e-03	1.2459450e-02	1.2378220e-02
170.9         	4.3823290e-02	7.2209530e-03	1.2459540e-02	1.2377620e-02
171           	4.3834800e-02	7.2201560e-03	1.2459360e-02	1.2377560e-02
171.1         	4.3796600e-02	7.2199680e-03	1.2458350e-02	1.2377060e-02
171.2         	4.3811750e-02	7.2196200e-03	1.2456670e-02	1.2376010e-02
171.3         	4.3794040e-02	7.2200100e-03	1.2455510e-02	1.2374700e-02
171.4         	4.3789630e-02	7.2201000e-03	1.2454120e-02	1.2373190e-02
171.5         	4.3869850e-02	7.2200270e-03	1.2453090e-02	1.2371810e-02
171.6         	4.3819810e-02	7.2199070e-03	1.2452930e-02	1.2371110e-02
171.7         	4.3813840e-02	7.2198950e-03	1.2452120e-02	1.2370380e-02
171.8         	4.3758820e-02	7.2192900e-03	1.2451730e-02	1.2370480e-02
171.9         	4.3784080e-02	7.2181590e-03	1.2450990e-02	1.2370280e-02
172           	4.3746400e-02	7.2173730e-03	1.2449730e-02	1.2369900e-02
172.1         	4.3706760e-02	7.2167070e-03	1.2449360e-02	1.2368840e-02
172.2         	4.3676600e-02	7.2165070e-03	1.2449250e-02	1.2368470e-02
172.3         	4.3660610e-02	7.2166940e-03	1.2449280e-02	1.2367240e-02
172.4         	4.3749190e-02	7.2169980e-03	1.2448690e-02	1.2366370e-02
172.5         	4.3693260e-02	7.2167590e-03	1.2447330e-02	1.2365960e-02
172.6         	4.3711330e-02	7.2160270e-03	1.2445540e-02	1.2365890e-02
172.7         	4.3710430e-02	7.2150670e-03	1.2444300e-02	1.2365820e-02
172.8         	4.3653890e-02	7.2147870e-03	1.2443110e-02	1.2365590e-02
172.9         	4.3665630e-02	7.2149740e-03	1.2442950e-02	1.2365630e-02
173           	4.3724640e-02	7.2142280e-03	1.2443170e-02	1.2365170e-02
173.1         	4.3780560e-02	7.2136660e-03	1.2442930e-02	1.2364520e-02
173.2         	4.3766170e-02	7.2136930e-03	1.2442080e-02	1.2364160e-02
173.3         	4.3756380e-02	7.2138500e-03	1.2441230e-02	1.2364020e-02
173.4         	4.3715920e-02	7.2144000e-03	1.2440640e-02	1.2364470e-02
173.5         	4.3784420e-02	7.2140530e-03	1.2440740e-02	1.2365690e-02
173.6         	4.3767020e-02	7.2142630e-03	1.2440400e-02	1.2366870e-02
173.7         	4.3707790e-02	7.2140130e-03	1.2440520e-02	1.2367010e-02
173.8         	4.3732270e-02	7.2140750e-03	1.2440620e-02	1.2366690e-02
173.9         	4.3730760e-02	7.2142320e-03	1.2439620e-02	1.2365310e-02
174           	4.3718900e-02	7.2138470e-03	1.2438320e-02	1.2364530e-02
174.1         	4.3744150e-02	7.2137820e-03	1.2436880e-02	1.2365230e-02
174.2         	4.3744160e-02	7.2136630e-03	1.2435690e-02	1.2365660e-02
174.3         	4.3746680e-02	7.2133360e-03	1.2435090e-02	1.2365820e-02
174.4         	4.3767970e-02	7.2129250e-03	1.2434850e-02	1.2365920e-02
174.5         	4.3782610e-02	7.2132820e-03	1.2434840e-02	1.2365910e-02
174.6         	4.3738830e-02	7.2133100e-03	1.2434650e-02	1.2365170e-02
174.7         	4.3804180e-02	7.2129980e-03	1.2434590e-02	1.2364270e-02
174.8         	4.3757590e-02	7.2120340e-03	1.2435050e-02	1.2363910e-02
174.9         	4.3775120e-02	7.2113740e-03	1.2434740e-02	1.2363570e-02
175           	4.3748180e-02	7.2113980e-03	1.2434270e-02	1.2363330e-02
175.1         	4.3690660e-02	7.2116990e-03	1.2433580e-02	1.2363430e-02
175.2         	4.3738270e-02	7.2124470e-03	1.2432430e-02	1.2363930e-02
175.3         	4.3739300e-02	7.2123970e-03	1.2431780e-02	1.2363950e-02
175.4         	4.3726220e-02	7.2118010e-03	1.2431140e-02	1.2363370e-02
175.5         	4.3744000e-02	7.2111100e-03	1.2430850e-02	1.2363150e-02
175.6         	4.3790550e-02	7.2100950e-03	1.2430060e-02	1.2363260e-02
175.7         	4.3727610e-02	7.2091640e-03	1.2429620e-02	1.2363100e-02
175.8         	4.3697820e-02	7.2086290e-03	1.2429080e-02	1.2363530e-02
175.9         	4.3701350e-02	7.2083420e-03	1.2428660e-02	1.2363660e-02
176           	4.3688540e-02	7.2085900e-03	1.2428600e-02	1.2363820e-02
176.1         	4.3701170e-02	7.2087370e-03	1.2427100e-02	1.2363490e-02
176.2         	4.3728220e-02	7.2084970e-03	1.2426350e-02	1.2363040e-02
176.3         	4.3676110e-02	7.2081740e-03	1.2425320e-02	1.2362780e-02
176.4         	4.3736940e-02	7.2073860e-03	1.2423730e-02	1.2362890e-02
176.5         	4.3673560e-02	7.2064990e-03	1.2422340e-02	1.2363630e-02
176.6         	4.3675960e-02	7.2060680e-03	1.2421770e-02	1.2363970e-02
176.7         	4.3730740e-02	7.2063490e-03	1.2421090e-02	1.2364310e-02
176.8         	4.3729050e-02	7.2069590e-03	1.2420870e-02	1.2364810e-02
176.9         	4.3807330e-02	7.2070310e-03	1.2420130e-02	1.2365500e-02
177           	4.3758610e-02	7.2068940e-03	1.2419230e-02	1.2365750e-02
